,server_node,client_node,mbps,cpu_host,cpu_client,mean_rtt,retransmits,httpMinResponseTime,httpMaxResponseTime,httpAverageResponseTime
0,aks-agentpool-93652126-vmss000000,aks-agentpool-93652126-vmss000000,1.627399769453464e+16,99.68623125688157,99.68623125688157,35.0,1429,0,81,1.7431500635093449
1,aks-agentpool-93652126-vmss000000,aks-az1-52939702-vmss000000,9496674337019534.0,24.76433805123743,24.76433805123743,608.0,9405,0,82,1.2702629561138423
2,aks-agentpool-93652126-vmss000000,aks-az2-26374771-vmss000000,9506047992461106.0,19.50344399260392,19.50344399260392,1826.0,9356,0,52,0.8839776516175543
3,aks-agentpool-93652126-vmss000000,aks-az3-17689621-vmss000000,9500903594146930.0,23.593415062080307,23.593415062080307,993.0,3565,0,68,1.3122683301690625
4,aks-az1-52939702-vmss000000,aks-agentpool-93652126-vmss000000,9667566462213486.0,18.010319066479287,18.010319066479287,1002.0,1110,0,69,1.1866804848375614
5,aks-az1-52939702-vmss000000,aks-az1-52939702-vmss000000,1.3833933483238916e+16,99.8287739879625,99.8287739879625,37.0,569,0,100,2.3224848013895873
6,aks-az1-52939702-vmss000000,aks-az2-26374771-vmss000000,9666886288243070.0,18.587041986554826,18.587041986554826,2649.0,1197,0,60,0.9869715620647828
7,aks-az1-52939702-vmss000000,aks-az3-17689621-vmss000000,9502432108652796.0,24.410309743324,24.410309743324,1127.0,3846,0,72,1.323777327022763
8,aks-az2-26374771-vmss000000,aks-agentpool-93652126-vmss000000,9661828446245430.0,17.99808558020377,17.99808558020377,329.0,7495,0,65,1.1089452122630892
9,aks-az2-26374771-vmss000000,aks-az1-52939702-vmss000000,9502497673319220.0,26.195775899960143,26.195775899960143,658.0,8211,0,78,1.2757936507936507
10,aks-az2-26374771-vmss000000,aks-az2-26374771-vmss000000,1.6633852098746962e+16,99.78617089132786,99.78617089132786,33.0,132,0,97,1.5360231852556265
11,aks-az2-26374771-vmss000000,aks-az3-17689621-vmss000000,9482890952678370.0,23.3937109503387,23.3937109503387,865.0,2262,0,64,1.3390973699696709
12,aks-az3-17689621-vmss000000,aks-agentpool-93652126-vmss000000,9661718455164774.0,17.167598126138,17.167598126138,811.0,750,0,64,1.036700139595623
13,aks-az3-17689621-vmss000000,aks-az1-52939702-vmss000000,9389643181337280.0,24.482901841340162,24.482901841340162,827.0,2370,0,78,1.3761339531525025
14,aks-az3-17689621-vmss000000,aks-az2-26374771-vmss000000,9665915855156586.0,18.13747887981001,18.13747887981001,3438.0,1028,0,61,0.9348365276211951
15,aks-az3-17689621-vmss000000,aks-az3-17689621-vmss000000,1.382816921606482e+16,99.8683796277458,99.8683796277458,43.0,34,0,113,2.717349551856594
