,,server_node,client_node,mbps,cpu_host,cpu_client,mean_rtt,retransmits,httpMinResponseTime,httpMaxResponseTime,httpAverageResponseTime
0,0,aks-agentpool-93652126-vmss000000,aks-agentpool-93652126-vmss000000,16273.997694534639,99.68623125688156,99.68623125688156,35.0,1429,0,81,1.7431500635093449
1,1,aks-agentpool-93652126-vmss000000,aks-az1-52939702-vmss000000,9496.674337019533,24.76433805123743,24.76433805123743,608.0,9405,0,82,1.2702629561138423
2,2,aks-agentpool-93652126-vmss000000,aks-az2-26374771-vmss000000,9506.047992461105,19.50344399260392,19.50344399260392,1826.0,9356,0,52,0.8839776516175543
3,3,aks-agentpool-93652126-vmss000000,aks-az3-17689621-vmss000000,9500.90359414693,23.593415062080307,23.593415062080307,993.0,3565,0,68,1.3122683301690623
4,4,aks-az1-52939702-vmss000000,aks-agentpool-93652126-vmss000000,9667.566462213486,18.010319066479287,18.010319066479287,1002.0,1110,0,69,1.1866804848375614
5,5,aks-az1-52939702-vmss000000,aks-az1-52939702-vmss000000,13833.933483238916,99.8287739879625,99.8287739879625,37.0,569,0,100,2.322484801389588
6,6,aks-az1-52939702-vmss000000,aks-az2-26374771-vmss000000,9666.886288243071,18.587041986554823,18.587041986554823,2649.0,1197,0,60,0.9869715620647828
7,7,aks-az1-52939702-vmss000000,aks-az3-17689621-vmss000000,9502.432108652796,24.410309743324,24.410309743324,1127.0,3846,0,72,1.323777327022763
8,8,aks-az2-26374771-vmss000000,aks-agentpool-93652126-vmss000000,9661.82844624543,17.99808558020377,17.99808558020377,329.0,7495,0,65,1.1089452122630892
9,9,aks-az2-26374771-vmss000000,aks-az1-52939702-vmss000000,9502.49767331922,26.195775899960143,26.195775899960143,658.0,8211,0,78,1.2757936507936507
10,10,aks-az2-26374771-vmss000000,aks-az2-26374771-vmss000000,16633.85209874696,99.78617089132786,99.78617089132786,33.0,132,0,97,1.5360231852556263
11,11,aks-az2-26374771-vmss000000,aks-az3-17689621-vmss000000,9482.89095267837,23.3937109503387,23.3937109503387,865.0,2262,0,64,1.3390973699696709
12,12,aks-az3-17689621-vmss000000,aks-agentpool-93652126-vmss000000,9661.718455164773,17.167598126138,17.167598126138,811.0,750,0,64,1.036700139595623
13,13,aks-az3-17689621-vmss000000,aks-az1-52939702-vmss000000,9389.64318133728,24.48290184134016,24.48290184134016,827.0,2370,0,78,1.3761339531525023
14,14,aks-az3-17689621-vmss000000,aks-az2-26374771-vmss000000,9665.915855156585,18.13747887981001,18.13747887981001,3438.0,1028,0,61,0.9348365276211952
15,15,aks-az3-17689621-vmss000000,aks-az3-17689621-vmss000000,13828.16921606482,99.8683796277458,99.8683796277458,43.0,34,0,113,2.717349551856594
16,16,aks-az1-52939702-vmss000001,aks-az1-52939702-vmss000002,9477.85486829725,25.70099165306695,25.70099165306695,848.0,17798,0,65,1.2983430403178473
17,17,aks-az2-26374771-vmss000003,aks-az2-26374771-vmss000004,9658.643570595626,17.424026004532,17.424026004532,1578.0,9116,0,54,0.8938108702481935
18,18,aks-az3-17689621-vmss000000,aks-az3-17689621-vmss000001,9443.174387825546,24.89687138725001,24.89687138725001,952.0,2868,0,105,1.757978844145821
